#npc2はガンホー社で管理をしています。ＨＬ側で勝手に触らないように注意！！！,
#海外系のNPCに関しては、HL側で空いている位置に追加して欲しい、との話があったので、専用のID系列を設けました。（081126）,
#,・韓国用,…18010000系列,
#,・タイ用,…18020000系列,
#,・香港＆台湾用,…18030000系列,
#以下、国が増えるごとに+10000して行ってください。,
#（※ 081126以前に追加したNPCに関しては、上記のルールに従っていません。）,
#ただし、海外系を追加した場合、データを送る際にNPCのIDも併せて伝えてください。,
#NPCID,NAME,MAPID,座標Ｘ,座標Ｙ,方向,scale,ＥＶＥＮＴＩＤ,NOTOUCH,ＰＩＣＴＩＤ,初期モーション,透明度(0~255)この値を 0 以外にすると重くなるので注意してください,デフォルト表示,円形影の描画,FLAG,NPC表示設定,
#10000000,,0,
18000000,NPC2てすと,20013003,65,72,4,1,18000000,0,11001218,111,0,1,0,0,0,
#18000001,あけましタイニー,10023000,129,109,4,1.2,18000001,111,11000724,111,0,1,0,0,0,
18000002,ECO運営チーム,20080001,25,25,0,1.5,18000002,0,11000029,135,0,1,0,0,0,
18000003,ECO運営チーム,20080002,25,25,0,1.5,18000003,0,11000113,111,0,1,0,0,0,
#18000004,フシギ団団員のパルル,20117001,15,19,0,1,18000004,0,18000004,131,0,1,0,0,0,
#18000005,フシギ団団員のグリーディ,10023000,170,108,1,1,18000005,0,18000005,122,0,1,0,0,0,
#18000006,フシギ団団員のクリム,30091006,8,3,0,1,18000006,0,18000006,131,0,1,0,0,0,
18000007,幹部のブル,50033000,6,4,0,1,18000007,0,11000768,131,0,1,0,0,0,
18000008,ヨーコ,50034000,4,3,0,1.1,18000008,0,11000282,111,0,1,0,0,0,
18000009,アリス,30206000,7,7,0,1,18000009,0,18000009,111,0,1,0,0,0,
18000010,アルミィナ,10024000,200,130,2,1,18000010,0,18000010,112,0,1,0,0,0,
18000011,ジャム・クラウン,30206000,8,9,1,1,18000011,0,11000030,111,0,1,0,0,0,
18000012,ビルマリア,10031000,217,217,2,1,18000012,0,11000820,111,0,1,0,0,0,
18000013,ジニーバーニア,30207000,3,1,0,1,18000013,0,11000027,111,0,1,0,0,0,
#18000014,准幹部のミーシア,10023000,178,98,0,1,18000014,0,18000014,131,0,1,0,0,0,
#18000015,役場のおじさん,50041000,7,2,0,1,18000015,0,11000696,111,0,1,0,0,0,
#18000016,宝箱,50056000,3,3,0,1,18000016,0,18000016,111,0,1,0,0,0,
#18000017,cellポイント①,,,,,,18000017,0,18000017,111,0,1,0,0,0,
#18000018,cellポイント②,,,,,,18000018,0,18000018,111,0,1,0,0,0,
#18000019,cellポイント③,,,,,,18000019,0,18000019,111,0,1,0,0,0,
#18000020,cellポイント④,,,,,,18000020,0,18000020,111,0,1,0,0,0,
#18000021,絆の司祭,30122002,13,8,0,1,18000021,0,18000021,111,0,1,0,0,0,#ラディーブイベント,
#18000022,キュー,10023000,127,139,0,1,18000022,0,18000022,111,0,1,0,0,0,#ラディーブイベント,
#18000023,ピット,19900000,154,91,0,1,18000023,0,18000023,111,0,1,0,0,0,#ラディーブイベント,
18000024,エミル,30002004,3,0,0,1,18000024,0,11001220,111,0,1,0,0,0,# クロニクル#1用,
18000025,タイタス,50044000,7,16,6,1,18000025,0,11000157,111,0,1,0,0,0,# クロニクル#1用,
18000026,ティタ,50044000,13,16,2,1,18000026,0,11000158,111,0,1,0,0,0,# クロニクル#1用,
18000027,タイタス,50045000,12,16,6,1,18000027,0,11000157,112,0,1,0,0,0,# クロニクル#1用,
18000028,エミル,50046000,4,2,7,1,18000028,0,11001220,111,0,1,0,0,0,# クロニクル#1用,
18000029,マーシャ,50046000,2,4,5,1,18000029,0,11000936,111,0,1,0,0,0,# クロニクル#1用,
18000030,ティタ,50046000,5,3,3,1,18000030,0,11000158,111,0,1,0,0,0,# クロニクル#1用,
18000031,エミル,50047000,3,3,6,1,18000031,0,11001220,111,0,1,0,0,0,# クロニクル#1用,
18000032,マーシャ,50047000,4,3,5,1,18000032,0,11000936,111,0,1,0,0,0,# クロニクル#1用,
18000033,マーチャントマスター,50047000,0,5,2,1.05,18000033,0,11000026,111,0,1,0,0,0,# クロニクル#1用,
18000034,ティタ,50048000,5,3,1,1,18000034,0,11000158,111,127,1,0,0,0,# クロニクル#1用,
#18000035,大きなこころのかけら,,,,,,18000035,0,18000035,111,0,1,0,0,0,# クロニクル#1用,
18000036,ソードマンのお兄さん,10024000,200,148,0,1,18000036,0,11000946,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000037,フェンサーのお兄さん,10024000,199,150,6,1,18000037,0,11000947,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000038,スカウトのお姉さん,10024000,201,151,4,1,18000038,0,11000017,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000039,アーチャーのお姉さん,10024000,202,150,2,1,18000039,0,11000018,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000040,ウィザードのお姉さん,10024000,170,138,2,1,18000040,0,11000950,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000041,シャーマンのお姉さん,10024000,168,138,6,1,18000041,0,11000951,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000042,ウァテスのお姉さん,10024000,168,141,7,1,18000042,0,11000952,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000043,ウォーロックのお兄さん,10024000,169,142,3,1,18000043,0,11000953,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000044,タタラベのお兄さん,10024000,169,118,3,1,18000044,0,11000020,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000045,ファーマーのお姉さん,10024000,167,117,7,1,18000045,0,11000955,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000046,マーチャントのお姉さん,10024000,168,116,7,1,18000046,0,11000956,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000047,テント,10024000,167,121,6,1,18000047,0,12001114,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
18000048,レンジャーのお兄さん,30200005,1,2,7,1,18000048,0,11000958,111,0,1,0,0,0,# ダウンタウンの職業紹介NPC,
